204664	204723	204781	204840	204899	204957	205016	205075	205133	205192	205251	205309	205368	205427	205485	205544	205603	205661	205720	205779	205837	205896	205955	206013	206072	206131	206189	206248	206307	206365	206424	206483	206541	206600	206659	206717	206776	206835	206893	206952	207011	207069	207128	207187	207245	207304	207363	207421	207480	207539	207597	207656	207715	207773	207832	207891	207949	208008	208067	208125	208184	208243	208301	208360	208419	208477	208536	208595	208653	208712	208771	208829	208888	208947	209005	209064	209123	209181	209240	209299	209357	209416	209475	209533	209592	209651	209709	209768	209827	209885	209944	210003	210061	210120	210179	210237	210296	210355	210413	210472

-------------------------------------------------------------------
2.71594E-3	2.72845E-3	2.76993E-3	2.81469E-3	2.83005E-3	2.88233E-3	2.95162E-3	2.98628E-3	3.05664E-3	3.13378E-3	3.20186E-3	3.25929E-3	3.34391E-3	3.44099E-3	3.53757E-3	3.60814E-3	3.70062E-3	3.84319E-3	3.98659E-3	4.08986E-3	4.20950E-3	4.34408E-3	4.48238E-3	4.63082E-3	4.80124E-3	4.96146E-3	5.13581E-3	5.34892E-3	5.56029E-3	5.76596E-3	6.00105E-3	6.22856E-3	6.50077E-3	6.80087E-3	7.10956E-3	7.45142E-3	7.82255E-3	8.21041E-3	8.60544E-3	9.08666E-3	9.50309E-3	9.91240E-3	1.02763E-2	1.05150E-2	1.05143E-2	1.04737E-2	1.04806E-2	1.03945E-2	1.02425E-2	1.00774E-2	9.86755E-3	9.61732E-3	9.33316E-3	9.03475E-3	8.67254E-3	8.38590E-3	8.08375E-3	7.79416E-3	7.49350E-3	7.16639E-3	6.87090E-3	6.61199E-3	6.33696E-3	6.08064E-3	5.82686E-3	5.55531E-3	5.37455E-3	5.14067E-3	4.98070E-3	4.79365E-3	4.58855E-3	4.43648E-3	4.29882E-3	4.12014E-3	4.00907E-3	3.89556E-3	3.74230E-3	3.66466E-3	3.53191E-3	3.44611E-3	3.33271E-3	3.25261E-3	3.16532E-3	3.10116E-3	2.99946E-3	2.94144E-3	2.84893E-3	2.76339E-3	2.65869E-3	2.63518E-3	2.60070E-3	2.57835E-3	2.52316E-3	2.48410E-3	2.44470E-3	2.41133E-3	2.37423E-3	2.32663E-3	2.29019E-3	2.25702E-3
2.70328E-3	2.71626E-3	2.77874E-3	2.79868E-3	2.83852E-3	2.89179E-3	2.95914E-3	3.01168E-3	3.07569E-3	3.14843E-3	3.20828E-3	3.27668E-3	3.38413E-3	3.45043E-3	3.54318E-3	3.62512E-3	3.73083E-3	3.86801E-3	3.96194E-3	4.10408E-3	4.24594E-3	4.38984E-3	4.49915E-3	4.67127E-3	4.79554E-3	4.97899E-3	5.19804E-3	5.39671E-3	5.60601E-3	5.81256E-3	6.03984E-3	6.28568E-3	6.55188E-3	6.85167E-3	7.13854E-3	7.48311E-3	7.85797E-3	8.27971E-3	8.72965E-3	9.21438E-3	9.62065E-3	1.00260E-2	1.03831E-2	1.05215E-2	1.05017E-2	1.05233E-2	1.05008E-2	1.04459E-2	1.02903E-2	1.01103E-2	9.87804E-3	9.63901E-3	9.37121E-3	9.03987E-3	8.69613E-3	8.40707E-3	8.11930E-3	7.79101E-3	7.49967E-3	7.18685E-3	6.87477E-3	6.64104E-3	6.33814E-3	6.10743E-3	5.87540E-3	5.60437E-3	5.38732E-3	5.16755E-3	4.97715E-3	4.79184E-3	4.62225E-3	4.44296E-3	4.29242E-3	4.14098E-3	4.01779E-3	3.87250E-3	3.79161E-3	3.66238E-3	3.55093E-3	3.46848E-3	3.34537E-3	3.24867E-3	3.15654E-3	3.08384E-3	3.04099E-3	2.96264E-3	2.87231E-3	2.79697E-3	2.74334E-3	2.69944E-3	2.59945E-3	2.56090E-3	2.53756E-3	2.48844E-3	2.43210E-3	2.42370E-3	2.37681E-3	2.32854E-3	2.32563E-3	2.27814E-3
2.76072E-3	2.77063E-3	2.78915E-3	2.82080E-3	2.88380E-3	2.93704E-3	2.98074E-3	3.01724E-3	3.11000E-3	3.21349E-3	3.25048E-3	3.29804E-3	3.39793E-3	3.48099E-3	3.59008E-3	3.67429E-3	3.76825E-3	3.90841E-3	3.99926E-3	4.13073E-3	4.27461E-3	4.42010E-3	4.55671E-3	4.71105E-3	4.86609E-3	5.04454E-3	5.21626E-3	5.46268E-3	5.66670E-3	5.87513E-3	6.11758E-3	6.35856E-3	6.59988E-3	6.94046E-3	7.24983E-3	7.56314E-3	7.96022E-3	8.34081E-3	8.76613E-3	9.30619E-3	9.68452E-3	1.00992E-2	1.04195E-2	1.05784E-2	1.05587E-2	1.05178E-2	1.05242E-2	1.04487E-2	1.02938E-2	1.00961E-2	9.87680E-3	9.59829E-3	9.32374E-3	9.01840E-3	8.67102E-3	8.39557E-3	8.09292E-3	7.77624E-3	7.46211E-3	7.16450E-3	6.86807E-3	6.61519E-3	6.34200E-3	6.07810E-3	5.82381E-3	5.57624E-3	5.37332E-3	5.16932E-3	4.96581E-3	4.76078E-3	4.60058E-3	4.43985E-3	4.29875E-3	4.16951E-3	4.02202E-3	3.86201E-3	3.76890E-3	3.65048E-3	3.56235E-3	3.45912E-3	3.36204E-3	3.25065E-3	3.17290E-3	3.09934E-3	3.00955E-3	2.91852E-3	2.87905E-3	2.80258E-3	2.74317E-3	2.69579E-3	2.63922E-3	2.58307E-3	2.54332E-3	2.50530E-3	2.46508E-3	2.42983E-3	2.36748E-3	2.33552E-3	2.29118E-3	2.27618E-3
2.74725E-3	2.75890E-3	2.79452E-3	2.84758E-3	2.88560E-3	2.91421E-3	3.00769E-3	3.06035E-3	3.12092E-3	3.21083E-3	3.26800E-3	3.34497E-3	3.41652E-3	3.51241E-3	3.59211E-3	3.68446E-3	3.79405E-3	3.91576E-3	4.03918E-3	4.15552E-3	4.31961E-3	4.46861E-3	4.57626E-3	4.75044E-3	4.88534E-3	5.00312E-3	5.26588E-3	5.49918E-3	5.70007E-3	5.92586E-3	6.14115E-3	6.37912E-3	6.68588E-3	6.97903E-3	7.26709E-3	7.62780E-3	7.98445E-3	8.38702E-3	8.84922E-3	9.28874E-3	9.73719E-3	1.01719E-2	1.05025E-2	1.05874E-2	1.05346E-2	1.05250E-2	1.05290E-2	1.04225E-2	1.02592E-2	1.01023E-2	9.87129E-3	9.58541E-3	9.28862E-3	8.97619E-3	8.64830E-3	8.41750E-3	8.09571E-3	7.78219E-3	7.44471E-3	7.12079E-3	6.83682E-3	6.58592E-3	6.32382E-3	6.05478E-3	5.81488E-3	5.55447E-3	5.37151E-3	5.15994E-3	4.95025E-3	4.77577E-3	4.61367E-3	4.44604E-3	4.29948E-3	4.14400E-3	4.01569E-3	3.87887E-3	3.78250E-3	3.65565E-3	3.54336E-3	3.44398E-3	3.35444E-3	3.26581E-3	3.16800E-3	3.10707E-3	3.02985E-3	2.95218E-3	2.87671E-3	2.81256E-3	2.75706E-3	2.69728E-3	2.66035E-3	2.60248E-3	2.53206E-3	2.51021E-3	2.46378E-3	2.42245E-3	2.37721E-3	2.34280E-3	2.31851E-3	2.28621E-3
2.76120E-3	2.76937E-3	2.79719E-3	2.85377E-3	2.88651E-3	2.96376E-3	3.01040E-3	3.05874E-3	3.13265E-3	3.20075E-3	3.27042E-3	3.35087E-3	3.41688E-3	3.50380E-3	3.61844E-3	3.71723E-3	3.80964E-3	3.94095E-3	4.06074E-3	4.17801E-3	4.31669E-3	4.47352E-3	4.57366E-3	4.75425E-3	4.91528E-3	5.09884E-3	5.29208E-3	5.48423E-3	5.74907E-3	5.96917E-3	6.19036E-3	6.45741E-3	6.72523E-3	7.03544E-3	7.34529E-3	7.68017E-3	8.05209E-3	8.45110E-3	8.94726E-3	9.38541E-3	9.82549E-3	1.02389E-2	1.05630E-2	1.06102E-2	1.05934E-2	1.05962E-2	1.05618E-2	1.04617E-2	1.03032E-2	1.01412E-2	9.92338E-3	9.62443E-3	9.31984E-3	9.04204E-3	8.66205E-3	8.40402E-3	8.08256E-3	7.77728E-3	7.45535E-3	7.17303E-3	6.86374E-3	6.58779E-3	6.33141E-3	6.09916E-3	5.82430E-3	5.60258E-3	5.37245E-3	5.19038E-3	4.96683E-3	4.79028E-3	4.62934E-3	4.45701E-3	4.29116E-3	4.15933E-3	3.99363E-3	3.89092E-3	3.78497E-3	3.68574E-3	3.57032E-3	3.47445E-3	3.37888E-3	3.26385E-3	3.18690E-3	3.11933E-3	3.04009E-3	2.96820E-3	2.89763E-3	2.83685E-3	2.76575E-3	2.75620E-3	2.64824E-3	2.61144E-3	2.55005E-3	2.50864E-3	2.48641E-3	2.43598E-3	2.41459E-3	2.36399E-3	2.33288E-3	2.27121E-3
2.75272E-3	2.83319E-3	2.82170E-3	2.86169E-3	2.90857E-3	3.02162E-3	3.03378E-3	3.06933E-3	3.12996E-3	3.22824E-3	3.30377E-3	3.37013E-3	3.47443E-3	3.55162E-3	3.64478E-3	3.74691E-3	3.84683E-3	3.96433E-3	4.09923E-3	4.22380E-3	4.35051E-3	4.51121E-3	4.65884E-3	4.83410E-3	4.99237E-3	5.14023E-3	5.34750E-3	5.55028E-3	5.76837E-3	6.01629E-3	6.27151E-3	6.55093E-3	6.79782E-3	7.09393E-3	7.40316E-3	7.75897E-3	8.11774E-3	8.53691E-3	9.05707E-3	9.50431E-3	9.90135E-3	1.03166E-2	1.06028E-2	1.06409E-2	1.06160E-2	1.05946E-2	1.05988E-2	1.04874E-2	1.09880E-2	1.40088E-2	1.44274E-2	1.05933E-2	9.44472E-3	9.03443E-3	8.69123E-3	8.40371E-3	8.09298E-3	7.77971E-3	7.45141E-3	7.13844E-3	6.86405E-3	6.61967E-3	6.36492E-3	6.06402E-3	5.84437E-3	5.61165E-3	5.40177E-3	5.16052E-3	4.95193E-3	4.86770E-3	4.62788E-3	4.47397E-3	4.32595E-3	4.15772E-3	4.03929E-3	3.91344E-3	3.79523E-3	3.66952E-3	3.57476E-3	3.50059E-3	3.37141E-3	3.28230E-3	3.20864E-3	3.13368E-3	3.04010E-3	2.97254E-3	2.90788E-3	2.83101E-3	2.81595E-3	2.74154E-3	2.65611E-3	2.63340E-3	2.59591E-3	2.52631E-3	2.49192E-3	2.44359E-3	2.41165E-3	2.38570E-3	2.35299E-3	2.30490E-3
2.78402E-3	2.81266E-3	2.85167E-3	2.89707E-3	2.91839E-3	2.96390E-3	3.02323E-3	3.07808E-3	3.16004E-3	3.25246E-3	3.32923E-3	3.42375E-3	3.46911E-3	3.57559E-3	3.67728E-3	3.78821E-3	3.88530E-3	4.01091E-3	4.12040E-3	4.25373E-3	4.38517E-3	4.53512E-3	4.66822E-3	4.85944E-3	4.99438E-3	5.20343E-3	5.40028E-3	5.60694E-3	5.85062E-3	6.05085E-3	6.33050E-3	6.55207E-3	6.82801E-3	7.15921E-3	7.45160E-3	7.86179E-3	8.18883E-3	8.64843E-3	9.11726E-3	9.55193E-3	9.96810E-3	1.03629E-2	1.06887E-2	1.07228E-2	1.06532E-2	1.06365E-2	1.05844E-2	1.04700E-2	1.03532E-2	1.02570E-2	1.00112E-2	9.66514E-3	9.31480E-3	8.97919E-3	8.65960E-3	8.37220E-3	8.08060E-3	7.80823E-3	7.44879E-3	7.14638E-3	6.84097E-3	6.58465E-3	6.26940E-3	6.08726E-3	5.84314E-3	5.58996E-3	5.34366E-3	5.17108E-3	4.96804E-3	4.76628E-3	4.61195E-3	4.44839E-3	4.29796E-3	4.14705E-3	4.02886E-3	3.91423E-3	3.78350E-3	3.68167E-3	3.61804E-3	3.49011E-3	3.35904E-3	3.29551E-3	3.19165E-3	3.11841E-3	3.03924E-3	2.97620E-3	2.90965E-3	2.84238E-3	2.78712E-3	2.73741E-3	2.69624E-3	2.62827E-3	2.56834E-3	2.51391E-3	2.48639E-3	2.46290E-3	2.39031E-3	2.38214E-3	2.32544E-3	2.28785E-3
2.78013E-3	2.81479E-3	2.84578E-3	2.89954E-3	2.94801E-3	2.97478E-3	3.04293E-3	3.09447E-3	3.17892E-3	3.23925E-3	3.32056E-3	3.39201E-3	3.49864E-3	3.58840E-3	3.68626E-3	3.77401E-3	3.88415E-3	4.00498E-3	4.12275E-3	4.25259E-3	4.40919E-3	4.53527E-3	4.68111E-3	4.83944E-3	5.01531E-3	5.20644E-3	5.39323E-3	5.63778E-3	5.88640E-3	6.12487E-3	6.34155E-3	6.58818E-3	6.87287E-3	7.17211E-3	7.50479E-3	7.81090E-3	8.21557E-3	8.73795E-3	9.13754E-3	9.56488E-3	1.00042E-2	1.03586E-2	1.05897E-2	1.06405E-2	1.06405E-2	1.05992E-2	1.06746E-2	1.05015E-2	1.02682E-2	1.00802E-2	9.87077E-3	9.53225E-3	9.26585E-3	8.93533E-3	8.62187E-3	8.33299E-3	8.00740E-3	7.70272E-3	7.39993E-3	7.09481E-3	6.81560E-3	6.57412E-3	6.31089E-3	6.04593E-3	5.81089E-3	5.56013E-3	5.35669E-3	5.13945E-3	4.95979E-3	4.74934E-3	4.58993E-3	4.42140E-3	4.29803E-3	4.14172E-3	4.01835E-3	3.89642E-3	3.77227E-3	3.66696E-3	3.58204E-3	3.47878E-3	3.34358E-3	3.26988E-3	3.19589E-3	3.14005E-3	3.03896E-3	2.95855E-3	2.91381E-3	2.83670E-3	2.77231E-3	2.71113E-3	2.68587E-3	2.60592E-3	2.57241E-3	2.51260E-3	2.48663E-3	2.44306E-3	2.39540E-3	2.36336E-3	2.33433E-3	2.31375E-3
2.78829E-3	2.81505E-3	2.85206E-3	2.88619E-3	2.93847E-3	2.98784E-3	3.04191E-3	3.10478E-3	3.16550E-3	3.23905E-3	3.31774E-3	3.43742E-3	3.50079E-3	3.61620E-3	3.69247E-3	3.79877E-3	3.91800E-3	4.03879E-3	4.19297E-3	4.30310E-3	4.42290E-3	4.59077E-3	4.73527E-3	4.87380E-3	5.05370E-3	5.25350E-3	5.44592E-3	5.65989E-3	5.89046E-3	6.13393E-3	6.37814E-3	6.62445E-3	6.89527E-3	7.21798E-3	7.55746E-3	7.91964E-3	8.30619E-3	8.72302E-3	9.20068E-3	9.64892E-3	1.00310E-2	1.04359E-2	1.07178E-2	1.06828E-2	1.06571E-2	1.06445E-2	1.05840E-2	1.04331E-2	1.02946E-2	1.00804E-2	9.85786E-3	9.54783E-3	9.24587E-3	8.92368E-3	8.59292E-3	8.32907E-3	8.02139E-3	7.70380E-3	7.39154E-3	7.07519E-3	6.81139E-3	6.55944E-3	6.29972E-3	6.03871E-3	5.80927E-3	5.53757E-3	5.35679E-3	5.13949E-3	4.93620E-3	4.75815E-3	4.58870E-3	4.44489E-3	4.29855E-3	4.16637E-3	4.01731E-3	3.91931E-3	3.79356E-3	3.68340E-3	3.60195E-3	3.47490E-3	3.36193E-3	3.29704E-3	3.24706E-3	3.14136E-3	3.06293E-3	2.97524E-3	2.91315E-3	2.83553E-3	2.77031E-3	2.71692E-3	2.66301E-3	2.62846E-3	2.60856E-3	2.54048E-3	2.48560E-3	2.45645E-3	2.40240E-3	2.38150E-3	2.35010E-3	2.31448E-3
2.80314E-3	2.83790E-3	2.86195E-3	2.92134E-3	2.97081E-3	3.02813E-3	3.03866E-3	3.14681E-3	3.20411E-3	3.26828E-3	3.33869E-3	3.43618E-3	3.53156E-3	3.61520E-3	3.72204E-3	3.80596E-3	3.90027E-3	4.06342E-3	4.17625E-3	4.30205E-3	4.42383E-3	4.61693E-3	4.75536E-3	4.89116E-3	5.09318E-3	5.28711E-3	5.46733E-3	5.70726E-3	5.90996E-3	6.15329E-3	6.40356E-3	6.66367E-3	6.95943E-3	7.24365E-3	7.59752E-3	7.94683E-3	8.37327E-3	8.83126E-3	9.23820E-3	9.64821E-3	1.00944E-2	1.04708E-2	1.06842E-2	1.06978E-2	1.06676E-2	1.06324E-2	1.05881E-2	1.04368E-2	1.02799E-2	1.00198E-2	9.82538E-3	9.51977E-3	9.20941E-3	8.89446E-3	8.59583E-3	8.30742E-3	7.94865E-3	7.66420E-3	7.41747E-3	7.06172E-3	6.78143E-3	6.57256E-3	6.29426E-3	6.04882E-3	5.77200E-3	5.54409E-3	5.35361E-3	5.10383E-3	4.93207E-3	4.75531E-3	4.58417E-3	4.42739E-3	4.29704E-3	4.13925E-3	4.01661E-3	3.91454E-3	3.78602E-3	3.68707E-3	3.57190E-3	3.48293E-3	3.38895E-3	3.30030E-3	3.16991E-3	3.12838E-3	3.05633E-3	2.95511E-3	2.90228E-3	2.87544E-3	2.76802E-3	2.72100E-3	2.67356E-3	2.61416E-3	2.58339E-3	2.57084E-3	2.49040E-3	2.46518E-3	2.39964E-3	2.40555E-3	2.36163E-3	2.31232E-3
2.81134E-3	2.83842E-3	2.86532E-3	2.90105E-3	2.97144E-3	3.01650E-3	3.07471E-3	3.15284E-3	3.17064E-3	3.30313E-3	3.38232E-3	3.43963E-3	3.54493E-3	3.60896E-3	3.72358E-3	3.81664E-3	3.92302E-3	4.08878E-3	4.18534E-3	4.31174E-3	4.46965E-3	4.62081E-3	4.77914E-3	4.95565E-3	5.11504E-3	5.35656E-3	5.54355E-3	5.76087E-3	5.98864E-3	6.22113E-3	6.45452E-3	6.72298E-3	7.02317E-3	7.34642E-3	7.67713E-3	8.01791E-3	8.40955E-3	8.85332E-3	9.30837E-3	9.72788E-3	1.01533E-2	1.05165E-2	1.07561E-2	1.06728E-2	1.06784E-2	1.06453E-2	1.05901E-2	1.03936E-2	1.02310E-2	1.00185E-2	9.74650E-3	9.49321E-3	9.16882E-3	8.86999E-3	8.57996E-3	8.28205E-3	7.96611E-3	7.67179E-3	7.39158E-3	7.05678E-3	6.78701E-3	6.53870E-3	6.28308E-3	6.01239E-3	5.78211E-3	5.53151E-3	5.34633E-3	5.11689E-3	4.90431E-3	4.74438E-3	4.58827E-3	4.43958E-3	4.29999E-3	4.16359E-3	4.02297E-3	3.89112E-3	3.77116E-3	3.68852E-3	3.60073E-3	3.49501E-3	3.39513E-3	3.28443E-3	3.19531E-3	3.15719E-3	3.07644E-3	3.00478E-3	2.92769E-3	2.87475E-3	2.80691E-3	2.74710E-3	2.70628E-3	2.64674E-3	2.55816E-3	2.54975E-3	2.53656E-3	2.45920E-3	2.39592E-3	2.39996E-3	2.34182E-3	2.33006E-3
2.82140E-3	2.85148E-3	2.85515E-3	2.92014E-3	2.96261E-3	3.02468E-3	3.08311E-3	3.17106E-3	3.23246E-3	3.29815E-3	3.37345E-3	3.45745E-3	3.52514E-3	3.65475E-3	3.74861E-3	3.84333E-3	3.95511E-3	4.10252E-3	4.23249E-3	4.37206E-3	4.50498E-3	4.63458E-3	4.81916E-3	4.96329E-3	5.13639E-3	5.32352E-3	5.55277E-3	5.77952E-3	6.01724E-3	6.24246E-3	6.49558E-3	6.76411E-3	7.05307E-3	7.36344E-3	7.68791E-3	8.04473E-3	8.44646E-3	8.93513E-3	9.36599E-3	9.81522E-3	1.02172E-2	1.05626E-2	1.07518E-2	1.07179E-2	1.06938E-2	1.06236E-2	1.05895E-2	1.04474E-2	1.02502E-2	1.00066E-2	9.73987E-3	9.45292E-3	9.14859E-3	8.82574E-3	8.54043E-3	8.28375E-3	7.95425E-3	7.64530E-3	7.32908E-3	7.02774E-3	6.76439E-3	6.52573E-3	6.25612E-3	6.00456E-3	5.75722E-3	5.53464E-3	5.31033E-3	5.09943E-3	4.91680E-3	4.73390E-3	4.63372E-3	4.43988E-3	4.25825E-3	4.15442E-3	4.01400E-3	3.89018E-3	3.78421E-3	3.68169E-3	3.55066E-3	3.48764E-3	3.39335E-3	3.27180E-3	3.20617E-3	3.14039E-3	3.06240E-3	2.99152E-3	2.92553E-3	2.84451E-3	2.80001E-3	2.77109E-3	2.69504E-3	2.63669E-3	2.57429E-3	2.55123E-3	2.51135E-3	2.48789E-3	2.42991E-3	2.39979E-3	2.36034E-3	2.32412E-3
2.80954E-3	2.83530E-3	2.87034E-3	2.90088E-3	2.98512E-3	3.04483E-3	3.09577E-3	3.17138E-3	3.22945E-3	3.32132E-3	3.38765E-3	3.46957E-3	3.57413E-3	3.66797E-3	3.76403E-3	3.85230E-3	3.99257E-3	4.10991E-3	4.24251E-3	4.37176E-3	4.52420E-3	4.67944E-3	4.79286E-3	4.99129E-3	5.19498E-3	5.37848E-3	5.61426E-3	5.81117E-3	6.03977E-3	6.27577E-3	6.51908E-3	6.80032E-3	7.09577E-3	7.40465E-3	7.75516E-3	8.10121E-3	8.54234E-3	9.03605E-3	9.50623E-3	9.87825E-3	1.02740E-2	1.06141E-2	1.07679E-2	1.07021E-2	1.06408E-2	1.06359E-2	1.05666E-2	1.03955E-2	1.02372E-2	9.98779E-3	9.73156E-3	9.49562E-3	9.15213E-3	8.80377E-3	8.53585E-3	8.24002E-3	7.95613E-3	7.60409E-3	7.31050E-3	7.01333E-3	6.75242E-3	6.49401E-3	6.21954E-3	5.96693E-3	5.77264E-3	5.53483E-3	5.29669E-3	5.09038E-3	4.90413E-3	4.73769E-3	4.56969E-3	4.42718E-3	4.28761E-3	4.13568E-3	4.01952E-3	3.88867E-3	3.78149E-3	3.68584E-3	3.56538E-3	3.45680E-3	3.37803E-3	3.28438E-3	3.21632E-3	3.12407E-3	3.07386E-3	2.98769E-3	2.94190E-3	2.84417E-3	2.82438E-3	2.76978E-3	2.69092E-3	2.66007E-3	2.60792E-3	2.55865E-3	2.50274E-3	2.48128E-3	2.44553E-3	2.39812E-3	2.38214E-3	2.33902E-3
2.82544E-3	2.85674E-3	2.87125E-3	2.93512E-3	2.98292E-3	3.03793E-3	3.10416E-3	3.15687E-3	3.23120E-3	3.29508E-3	3.37390E-3	3.47604E-3	3.56118E-3	3.65850E-3	3.74719E-3	3.86872E-3	3.98441E-3	4.12458E-3	4.25029E-3	4.40821E-3	4.50891E-3	4.65828E-3	4.83517E-3	5.01344E-3	5.18753E-3	5.36498E-3	5.59058E-3	5.81946E-3	6.03550E-3	6.28748E-3	6.55184E-3	6.82390E-3	7.11534E-3	7.46198E-3	7.76897E-3	8.12110E-3	8.57882E-3	9.01331E-3	9.48861E-3	9.89471E-3	1.03063E-2	1.06238E-2	1.07842E-2	1.07431E-2	1.07036E-2	1.06335E-2	1.05541E-2	1.03576E-2	1.02024E-2	9.98115E-3	9.71139E-3	9.43433E-3	9.09671E-3	8.77893E-3	8.48264E-3	8.20420E-3	7.88245E-3	7.59618E-3	7.28015E-3	6.99456E-3	6.73141E-3	6.48084E-3	6.21077E-3	5.96205E-3	5.71408E-3	5.49122E-3	5.29715E-3	5.08547E-3	4.89641E-3	4.72325E-3	4.59668E-3	4.40306E-3	4.28087E-3	4.13783E-3	4.00311E-3	3.88535E-3	3.76764E-3	3.67742E-3	3.56183E-3	3.47971E-3	3.37812E-3	3.30985E-3	3.20733E-3	3.12959E-3	3.07897E-3	3.01886E-3	2.91625E-3	2.87423E-3	2.80825E-3	2.76052E-3	2.67987E-3	2.66406E-3	2.60398E-3	2.55785E-3	2.53194E-3	2.48693E-3	2.43675E-3	2.42239E-3	2.38179E-3	2.34487E-3
2.80466E-3	2.86287E-3	2.88998E-3	2.94124E-3	2.98911E-3	3.05475E-3	3.10001E-3	3.16950E-3	3.23475E-3	3.31589E-3	3.40389E-3	3.49439E-3	3.57743E-3	3.67272E-3	3.79180E-3	3.89641E-3	3.99995E-3	4.13540E-3	4.27360E-3	4.39177E-3	4.54313E-3	4.69413E-3	4.87103E-3	5.04029E-3	5.21521E-3	5.40037E-3	5.63130E-3	5.86382E-3	6.10762E-3	6.37134E-3	6.61721E-3	6.89979E-3	7.16081E-3	7.50173E-3	7.85393E-3	8.18229E-3	8.62013E-3	9.12155E-3	9.55681E-3	9.97187E-3	1.03877E-2	1.06627E-2	1.08174E-2	1.06897E-2	1.06895E-2	1.06153E-2	1.05330E-2	1.03494E-2	1.01717E-2	9.92402E-3	9.63468E-3	9.35752E-3	9.05323E-3	8.75888E-3	8.48738E-3	8.18892E-3	7.91687E-3	7.57751E-3	7.26603E-3	6.95917E-3	6.70958E-3	6.44147E-3	6.21690E-3	5.96442E-3	5.72395E-3	5.48675E-3	5.28905E-3	5.08448E-3	4.89671E-3	4.72896E-3	4.57333E-3	4.40094E-3	4.24792E-3	4.15674E-3	3.98720E-3	3.87484E-3	3.79112E-3	3.67409E-3	3.54858E-3	3.48760E-3	3.36382E-3	3.29719E-3	3.21093E-3	3.13924E-3	3.07179E-3	3.00551E-3	2.91809E-3	2.86747E-3	2.81260E-3	2.75777E-3	2.72418E-3	2.66903E-3	2.61620E-3	2.56418E-3	2.51073E-3	2.47643E-3	2.40525E-3	2.41507E-3	2.36465E-3	2.34428E-3
2.85233E-3	2.87167E-3	2.89759E-3	2.97801E-3	3.00957E-3	3.05844E-3	3.11553E-3	3.18767E-3	3.26378E-3	3.31705E-3	3.42066E-3	3.49045E-3	3.58207E-3	3.70257E-3	3.80148E-3	3.91417E-3	4.02477E-3	4.15148E-3	4.28083E-3	4.41059E-3	4.56499E-3	4.76040E-3	4.93486E-3	5.16587E-3	5.28215E-3	5.42554E-3	5.66792E-3	5.87908E-3	6.12278E-3	6.39410E-3	6.66815E-3	6.94779E-3	7.25233E-3	7.59246E-3	7.89126E-3	8.26287E-3	8.69516E-3	9.16957E-3	9.63280E-3	1.00245E-2	1.04253E-2	1.07038E-2	1.08357E-2	1.07310E-2	1.06857E-2	1.06497E-2	1.05457E-2	1.03465E-2	1.01827E-2	9.92877E-3	9.64420E-3	9.37290E-3	9.04038E-3	8.79639E-3	8.49420E-3	8.18367E-3	7.85241E-3	7.58654E-3	7.24051E-3	6.91361E-3	6.68499E-3	6.45510E-3	6.18655E-3	5.93116E-3	5.70392E-3	5.46791E-3	5.28137E-3	5.09994E-3	4.89940E-3	4.71379E-3	4.56907E-3	4.43121E-3	4.25576E-3	4.12409E-3	4.01007E-3	3.88946E-3	3.77917E-3	3.67014E-3	3.53550E-3	3.47697E-3	3.38651E-3	3.27495E-3	3.19772E-3	3.11683E-3	3.07624E-3	3.01958E-3	2.93126E-3	2.89898E-3	2.83104E-3	2.78023E-3	2.70185E-3	2.66008E-3	2.60094E-3	2.55180E-3	2.52582E-3	2.48507E-3	2.45397E-3	2.41488E-3	2.37277E-3	2.34850E-3
2.85683E-3	2.87572E-3	2.91482E-3	2.94770E-3	3.01929E-3	3.07848E-3	3.13562E-3	3.19932E-3	3.28457E-3	3.35070E-3	3.43775E-3	3.51481E-3	3.61011E-3	3.72358E-3	3.80570E-3	3.90807E-3	4.04867E-3	4.16549E-3	4.30111E-3	4.45340E-3	4.59456E-3	4.76112E-3	4.92186E-3	5.06148E-3	5.29151E-3	5.47473E-3	5.70559E-3	5.93825E-3	6.15179E-3	6.42674E-3	6.70175E-3	6.98847E-3	7.28724E-3	7.60899E-3	7.94570E-3	8.36480E-3	8.79468E-3	9.23324E-3	9.67745E-3	1.01594E-2	1.05434E-2	1.07747E-2	1.08621E-2	1.07777E-2	1.07220E-2	1.06594E-2	1.05535E-2	1.03605E-2	1.01858E-2	9.92857E-3	9.62235E-3	9.36856E-3	9.05477E-3	8.73630E-3	8.43457E-3	8.15813E-3	7.83136E-3	7.55121E-3	7.23079E-3	6.95945E-3	6.71671E-3	6.44499E-3	6.15698E-3	5.89765E-3	5.66896E-3	5.41881E-3	5.28543E-3	5.08147E-3	4.86603E-3	4.70663E-3	4.56893E-3	4.41966E-3	4.26844E-3	4.12711E-3	3.99479E-3	3.90266E-3	3.80965E-3	3.68198E-3	3.59117E-3	3.48376E-3	3.39323E-3	3.30062E-3	3.23762E-3	3.12660E-3	3.08909E-3	3.01313E-3	2.93346E-3	2.87267E-3	2.84931E-3	2.78481E-3	2.71635E-3	2.66909E-3	2.61096E-3	2.57030E-3	2.55591E-3	2.50541E-3	2.46644E-3	2.43372E-3	2.39825E-3	2.35485E-3
