205016	205073	205130	205187	205244	205300	205357	205414	205471	205528	205585	205642	205699	205756	205812	205869	205926	205983	206040	206097	206154	206211	206268	206324	206381	206438	206495	206552	206609	206666	206723	206780	206836	206893	206950	207007	207064	207121	207178	207235	207292	207348	207405	207462	207519	207576	207633	207690	207747	207804	207860	207917	207974	208031	208088	208145	208202	208259	208316	208372	208429	208486	208543	208600	208657	208714	208771	208828	208884	208941	208998	209055	209112	209169	209226	209283	209340	209396	209453	209510	209567	209624	209681	209738	209795	209852	209908	209965	210022	210079	210136	210193	210250	210307	210364	210420	210477	210534	210591	210648

-------------------------------------------------------------------
8.91296E+0	1.05354E+1	9.43123E+0	8.69346E+0	8.10482E+0	1.43227E+1	2.04212E+1	8.83208E+0	9.10354E+0	1.52725E+1	6.96768E+0	4.21677E+0	-2.37598E+0	9.37946E+0	6.57894E+0	1.00954E+1	-1.95732E-1	4.39774E+0	7.22873E+0	9.07641E-1	9.15121E+0	9.92812E+0	9.89902E+0	9.01652E+0	1.28320E+1	1.85393E+1	9.05025E+0	1.03878E+1	-2.75177E-2	8.22704E+0	6.74634E+0	2.68530E+0	9.06637E+0	8.26455E+0	9.14089E+0	6.91545E-1	1.14860E+1	7.00985E+0	1.08862E+1	9.37221E+0	9.31548E+0	9.38123E+0	9.55453E+0	9.53861E+0	9.69834E+0	9.83085E+0	9.87759E+0	9.91172E+0	9.92911E+0	9.11045E+0	8.60615E+0	8.25183E+0	8.03499E+0	7.94115E+0	7.91072E+0	7.82530E+0	7.82459E+0	7.73628E+0	7.84924E+0	7.84491E+0	7.65784E+0	7.22729E+0	6.62905E+0	5.98193E+0	5.50196E+0	4.07749E+0	2.05165E+0	1.40057E+0	1.23449E+0	1.20078E+0	1.33212E+0	1.27021E+0	1.35715E+0	1.20873E+0	1.31937E+0	1.22173E+0	1.23457E+0	1.35178E+0	1.13685E+0	1.29039E+0	1.33015E+0	1.15524E+0	1.32908E+0	1.30610E+0	1.22411E+0	1.34844E+0	1.42747E+0	1.43648E+0	1.34537E+0	1.55528E+0	1.49610E+0	1.04158E+0	1.28832E+0	1.14761E+0	1.19599E+0	1.20594E+0	1.07799E+0	1.29121E+0	1.24808E+0	1.03941E+0
9.86460E+0	9.69035E+0	9.60950E+0	8.79334E+0	8.05984E+0	8.22707E+0	8.56959E+0	9.42100E+0	9.41216E+0	9.04708E+0	9.48051E+0	9.23881E+0	9.26325E+0	9.02182E+0	9.16355E+0	9.27836E+0	9.29054E+0	9.20356E+0	9.30526E+0	9.13480E+0	9.21012E+0	9.20165E+0	9.25232E+0	9.16473E+0	8.96632E+0	9.10350E+0	9.00147E+0	9.19807E+0	9.02881E+0	9.07951E+0	9.07376E+0	9.21237E+0	9.15001E+0	9.28489E+0	9.34964E+0	9.18998E+0	9.15278E+0	9.27421E+0	9.44397E+0	9.39188E+0	9.43649E+0	9.55894E+0	9.50353E+0	9.56527E+0	9.68681E+0	9.75068E+0	9.74192E+0	1.00029E+1	9.90911E+0	9.12535E+0	8.70299E+0	8.24206E+0	8.12098E+0	7.93840E+0	7.79820E+0	7.87018E+0	7.91363E+0	8.04205E+0	8.03580E+0	7.97304E+0	7.64890E+0	7.27123E+0	6.67875E+0	6.12714E+0	5.43159E+0	4.23277E+0	2.08558E+0	1.44425E+0	1.38108E+0	1.26716E+0	1.32505E+0	1.33344E+0	1.33351E+0	1.40118E+0	1.33277E+0	1.28602E+0	1.25488E+0	1.21748E+0	1.25099E+0	1.43809E+0	1.37341E+0	1.19993E+0	1.44585E+0	1.27229E+0	1.59255E+0	1.37776E+0	1.34400E+0	1.33669E+0	1.29507E+0	1.34704E+0	1.42685E+0	1.43904E+0	1.40140E+0	1.30770E+0	1.26268E+0	1.27390E+0	8.01454E-1	1.17728E+0	1.28145E+0	1.84506E+0
9.26847E+0	1.01649E+1	9.31428E+0	8.46510E+0	7.81473E+0	8.29858E+0	8.73535E+0	9.37138E+0	9.27481E+0	9.53959E+0	9.69662E+0	9.53728E+0	9.47680E+0	9.29243E+0	9.25625E+0	9.37528E+0	8.96023E+0	9.16093E+0	9.15770E+0	9.12537E+0	8.90900E+0	8.98902E+0	8.91471E+0	9.05232E+0	9.00419E+0	8.85578E+0	8.92367E+0	8.94050E+0	8.92421E+0	8.83917E+0	8.96035E+0	9.02979E+0	9.04988E+0	9.17304E+0	9.08746E+0	9.19658E+0	9.22940E+0	9.10779E+0	9.21503E+0	9.26955E+0	9.37084E+0	9.39486E+0	9.47070E+0	9.66503E+0	9.62077E+0	9.71900E+0	9.80011E+0	7.21619E+0	9.54278E+0	1.11128E+1	8.63380E+0	8.29230E+0	7.23377E+0	7.70306E+0	7.74637E+0	7.88080E+0	8.04848E+0	8.81294E+0	7.86359E+0	8.03149E+0	7.69631E+0	7.25243E+0	6.77294E+0	6.33458E+0	5.53383E+0	3.99946E+0	2.01279E+0	1.71345E+0	-1.15310E+0	1.30059E+0	1.04046E+0	1.91451E+0	1.80501E+0	1.83251E+0	5.84147E+0	3.19658E+0	-3.83080E-1	1.64431E+0	-3.40578E+0	2.24764E+0	-6.43889E+0	-6.10552E+0	1.26533E+0	-2.25767E+0	1.58004E+0	1.30874E+0	1.27579E+0	1.37202E+0	1.06715E+0	1.22191E+0	1.32675E+0	1.28576E+0	-1.30999E+1	-5.86051E+0	1.45369E+0	1.26645E+0	1.46603E+0	-5.60106E+0	-1.71028E-1	1.02619E+1
9.42307E+0	1.34023E+0	9.05887E+0	8.38703E+0	8.33653E+0	8.16611E+0	8.82105E+0	9.47119E+0	8.98873E+0	9.44591E+0	9.43093E+0	9.51848E+0	9.22455E+0	9.23301E+0	9.56164E+0	9.15794E+0	9.07964E+0	9.07036E+0	9.06936E+0	9.03182E+0	8.98759E+0	9.28010E+0	9.10212E+0	9.15345E+0	9.18965E+0	8.99095E+0	9.10781E+0	8.96177E+0	9.09719E+0	8.99314E+0	9.01479E+0	9.10029E+0	9.08595E+0	9.18847E+0	9.20570E+0	9.15172E+0	9.34774E+0	9.28274E+0	9.32420E+0	9.50372E+0	9.45276E+0	9.62983E+0	9.61236E+0	9.70346E+0	9.77052E+0	9.79035E+0	9.89405E+0	9.91982E+0	9.71970E+0	9.05740E+0	8.61688E+0	8.12040E+0	8.47254E+0	7.28305E+0	8.06338E+0	7.80928E+0	7.90575E+0	7.29276E+0	7.94552E+0	7.96216E+0	7.66530E+0	7.30203E+0	6.81981E+0	6.22924E+0	5.46944E+0	3.64291E+0	1.93746E+0	1.56108E+0	1.44482E+0	1.53449E+0	1.07295E+0	1.46693E+0	-3.90768E+0	2.83000E-1	1.09057E+0	-5.75106E+0	1.33562E+0	9.15703E-1	6.45842E+0	2.15274E+0	1.10786E+0	-8.60115E-1	1.36439E+0	1.93268E+0	1.80652E+0	4.12928E+0	6.97240E-1	1.12878E+0	7.78589E+0	1.37488E+0	-4.81432E+0	1.35203E+0	-1.20256E+1	-1.31875E+0	3.34888E+0	-1.09813E+0	1.05960E+0	1.05151E+0	-1.31773E+0	1.11502E-1
2.06644E+0	9.03852E+0	7.26752E+0	8.87946E+0	7.97533E+0	7.60998E+0	9.29600E+0	9.42469E+0	9.23415E+0	9.53142E+0	9.72464E+0	9.28730E+0	9.63301E+0	9.51816E+0	9.35902E+0	9.30122E+0	9.44809E+0	9.16909E+0	9.10221E+0	9.09957E+0	9.02229E+0	9.37822E+0	9.20095E+0	9.03512E+0	8.96227E+0	9.15319E+0	9.13297E+0	8.96151E+0	9.09242E+0	9.12627E+0	9.14729E+0	9.11437E+0	9.01743E+0	9.15883E+0	9.18992E+0	9.19289E+0	9.21328E+0	9.28924E+0	9.42839E+0	9.45337E+0	9.46768E+0	9.59098E+0	9.66865E+0	9.69980E+0	9.83974E+0	9.84672E+0	9.91945E+0	1.00086E+1	9.80921E+0	9.08066E+0	8.61923E+0	8.08382E+0	7.92514E+0	7.84125E+0	7.72170E+0	7.70559E+0	8.10607E+0	8.43113E+0	8.12832E+0	7.98485E+0	7.62830E+0	7.16856E+0	6.47192E+0	5.65971E+0	5.35514E+0	3.64620E+0	1.97221E+0	1.58623E+0	2.90966E+0	2.39800E+0	1.40614E+0	1.41018E+0	1.22445E+0	1.23195E+0	1.42708E+0	-6.38059E+0	-4.25377E+0	8.39827E-1	-7.31373E-1	-1.12705E+0	1.18233E+0	-7.00327E+0	-4.27789E+0	3.16728E+0	3.43450E+0	1.50120E+0	2.40758E+0	2.80985E+0	1.49383E+0	-2.56460E+0	-3.61749E+0	1.38541E+0	1.51217E+0	1.38289E+0	1.37643E+0	-4.20702E+0	2.28635E+1	1.21493E+0	1.61640E+0	1.04708E+0
8.93954E+0	8.86931E+0	9.12843E+0	9.01672E+0	8.03994E+0	8.49930E+0	9.10448E+0	9.30224E+0	9.06352E+0	9.57260E+0	9.45196E+0	9.23041E+0	9.58890E+0	9.37417E+0	9.39022E+0	9.27961E+0	9.01896E+0	9.14386E+0	9.19348E+0	9.17581E+0	9.26232E+0	9.04943E+0	8.96737E+0	9.47025E+0	9.17814E+0	9.12731E+0	8.99602E+0	9.10137E+0	8.79721E+0	8.93743E+0	9.04922E+0	8.82484E+0	9.70575E+0	1.05393E+1	8.83306E+0	9.00994E+0	9.18263E+0	8.21578E+0	6.37699E+0	9.32396E+0	9.58832E+0	9.57582E+0	5.66302E+0	1.13343E+1	1.40157E+1	1.15096E+1	9.99166E+0	1.24300E+1	1.12372E+1	8.28031E+0	6.89816E+0	8.14685E+0	7.91829E+0	7.86803E+0	7.73577E+0	7.81664E+0	7.94614E+0	8.03435E+0	8.12776E+0	6.92472E+0	7.71469E+0	1.01175E+1	9.83626E+0	6.12013E+0	6.10266E+0	3.17897E+0	7.22568E+0	3.32114E+0	7.57782E-1	1.40346E+0	1.29129E+0	1.15057E+0	1.36327E+0	1.27227E+0	1.19910E+0	1.26186E+0	1.27130E+0	1.27484E+0	1.20207E+0	1.19156E+0	1.39967E+0	-1.33099E-1	-1.19200E+0	9.18388E+0	1.44292E+0	1.40366E+0	-8.83184E+0	-6.25494E+0	1.15827E+0	1.57296E+0	1.14070E+0	1.31883E+0	1.44730E+0	1.31569E+0	1.05678E+0	9.35264E-1	1.04183E+0	1.08072E+0	1.24559E+0	1.30027E+0
8.69108E+0	8.84003E+0	8.59679E+0	8.15746E+0	7.83824E+0	8.26790E+0	9.06535E+0	9.76560E+0	-3.04816E+0	1.25754E+1	8.59236E+0	9.14256E+0	1.40546E+1	1.63528E+1	9.31343E+0	9.27770E+0	9.31192E+0	9.27599E+0	9.26768E+0	9.07038E+0	9.20648E+0	9.13189E+0	9.12195E+0	3.50513E+0	8.24011E+0	9.14609E+0	7.17887E+0	2.73117E+0	8.93049E+0	5.86467E+0	8.93997E+0	3.64231E+0	1.28589E+0	9.09688E+0	5.03248E+0	9.20986E+0	1.50326E+1	9.21543E+0	1.02544E+1	1.30088E+1	9.29866E+0	3.87639E+0	1.00039E+1	9.51730E+0	9.51173E+0	4.44555E+0	6.62752E+0	9.86751E+0	1.20107E+1	8.69105E+0	9.92183E+0	6.66685E+0	7.89240E+0	7.79159E+0	8.26545E+0	7.76861E+0	6.92176E+0	7.38195E+0	9.39936E+0	7.89666E+0	7.61947E+0	4.34922E+0	5.10956E+0	6.07897E+0	5.22908E+0	3.32448E+0	1.86955E+0	1.63865E+0	1.46709E+0	1.42512E+0	1.34119E+0	1.39400E+0	1.18847E+0	1.31476E+0	1.40976E+0	1.48677E+0	1.33400E+0	1.23424E+0	1.34773E+0	1.59577E+0	1.46283E+0	1.59945E+0	8.78237E+0	-1.43635E+0	-7.03900E+0	1.44822E+0	1.46682E+0	9.03773E+0	3.56019E+0	1.62352E+0	1.17856E+0	1.69172E+0	3.81016E+0	8.86928E+0	-3.63071E-1	9.86163E+0	1.47822E+1	1.27745E+0	1.31039E+0	4.43845E+0
3.10014E+0	-2.06538E+0	8.81686E+0	4.67343E+0	8.80239E+0	8.64815E+0	1.69224E+1	3.02970E+0	9.48284E+0	1.54611E+1	9.53031E+0	1.24693E+1	1.01010E+1	2.09433E+0	4.56059E-1	9.23555E+0	9.37344E+0	4.30601E+0	7.21053E+0	9.19553E+0	9.09912E+0	9.13045E+0	8.99861E+0	9.03211E+0	9.13212E+0	8.85722E+0	8.87020E+0	9.04226E+0	8.91430E+0	1.32734E+1	6.53024E+0	9.81290E+0	9.00019E+0	8.84714E+0	8.10046E+0	8.99225E+0	9.17379E+0	9.11847E+0	9.36849E+0	9.36144E+0	9.39187E+0	9.53884E+0	9.53226E+0	9.74107E+0	9.79890E+0	9.69459E+0	9.86602E+0	1.00282E+1	9.62139E+0	8.89878E+0	8.40122E+0	8.00165E+0	7.88610E+0	7.74629E+0	7.68579E+0	7.77012E+0	7.96892E+0	8.11098E+0	8.13160E+0	7.96797E+0	7.52871E+0	7.12023E+0	5.30877E+0	8.75187E+0	4.98544E+0	2.96731E+0	1.91003E+0	1.64295E+0	1.51541E+0	5.61626E+0	2.80990E+0	-1.02880E+0	1.52758E+0	1.44491E+0	1.77312E+0	1.64600E+0	3.33422E+0	7.47554E+0	1.58881E+0	-9.09719E+0	2.89553E+0	2.54239E+0	-5.77457E+0	1.71526E+0	2.34127E+0	2.76451E+0	1.71700E+0	8.57572E+0	3.21959E+0	1.46708E+0	1.51693E+1	1.32425E+0	-1.28809E+1	1.56252E+0	1.71042E+0	1.25172E+0	5.53827E-1	1.93613E+1	1.45612E+0	1.02771E+0
1.77392E-1	2.20087E+1	2.00094E+0	8.42541E+0	-1.14460E+1	1.06672E+1	-8.22463E-1	-3.73070E+0	9.15152E+0	-6.56370E+0	9.30630E+0	9.22871E+0	9.58016E+0	9.44642E+0	9.49780E+0	9.46500E+0	9.38887E+0	9.29035E+0	9.05779E+0	9.34660E+0	9.20818E+0	9.10790E+0	9.16048E+0	9.27767E+0	9.19425E+0	9.04519E+0	9.01517E+0	9.03472E+0	9.08937E+0	9.08004E+0	9.10516E+0	9.08690E+0	8.96323E+0	9.18865E+0	9.11355E+0	9.31329E+0	9.38802E+0	8.32562E+0	9.48460E+0	1.02661E+1	9.54058E+0	9.29061E+0	9.57586E+0	9.61797E+0	9.77459E+0	1.21343E+1	1.17501E+1	9.91845E+0	9.47665E+0	8.14315E+0	8.35638E+0	8.08433E+0	7.93563E+0	7.79754E+0	7.68998E+0	7.79971E+0	7.92152E+0	9.61885E+0	9.43764E+0	7.18521E+0	8.57465E+0	7.47245E+0	6.82389E+0	2.72092E+0	2.43105E+0	1.91576E+0	5.62908E+0	1.52933E+0	-6.48045E+0	2.43038E+0	-2.44007E+0	-5.63372E+0	1.24054E+0	-6.80863E-1	1.38055E+0	1.34616E+0	-6.33073E+0	-2.31336E+0	1.55921E+0	-4.96509E+0	1.31103E+0	1.42756E+1	-3.70663E-1	-7.27792E+0	9.06083E+0	-8.01122E+0	1.50634E+0	1.43553E+0	-8.85015E+0	-2.27520E+0	-6.85663E+0	5.49530E-1	-1.36886E+0	1.18871E+0	1.46245E+0	1.31727E+0	1.41069E+0	1.23472E+0	1.10837E+0	9.38095E-1
7.80378E+0	8.24737E+0	7.98367E+0	8.49405E+0	8.51790E+0	9.12727E+0	9.55438E+0	9.34783E+0	9.48108E+0	9.58446E+0	9.59966E+0	9.36836E+0	9.43944E+0	9.61979E+0	9.40205E+0	-2.83975E+0	1.24930E+1	2.00636E+1	9.23819E+0	9.29451E+0	9.20527E+0	9.01895E+0	9.29261E+0	4.63876E+0	1.28231E+0	9.09268E+0	9.12801E+0	9.11309E+0	3.96400E+0	5.34723E+0	9.08991E+0	9.05491E+0	9.26760E+0	9.19943E+0	9.22864E+0	8.25230E+0	6.12467E+0	9.16020E+0	8.42642E+0	1.12432E+1	1.15047E+1	1.00936E+1	1.35325E+1	9.65310E+0	9.60572E+0	1.06468E+1	1.37232E+1	1.21086E+1	9.42194E+0	8.93441E+0	8.26325E+0	8.81476E+0	7.69645E+0	6.78775E+0	6.35772E+0	7.66966E+0	7.79622E+0	8.00788E+0	8.12105E+0	8.91273E+0	9.11367E+0	7.04406E+0	6.57010E+0	5.59496E+0	5.33847E+0	2.51201E+0	1.67597E+0	2.26474E-1	-1.85236E+0	1.29834E+0	7.39722E-1	1.02155E+0	1.42871E+0	1.31447E+0	1.34339E+0	1.35893E+0	1.28311E+0	1.42459E+0	1.42567E+0	1.44826E+0	1.19936E+0	1.26081E+0	1.48247E+0	1.34889E+0	1.42919E+0	1.42787E+0	1.21580E+0	1.40529E+0	1.37011E+0	1.50588E+0	1.26315E+0	1.30050E+0	1.33086E+0	1.64013E+0	1.24406E+0	1.22197E+0	1.25948E+0	1.15434E+0	1.14245E+0	1.04999E+0
8.07372E+0	8.27804E+0	8.51321E+0	8.19887E+0	8.70073E+0	9.23245E+0	9.77696E+0	9.63602E+0	9.40334E+0	1.00001E+1	9.80469E+0	9.77884E+0	9.52328E+0	9.41167E+0	9.45309E+0	9.19303E+0	9.40789E+0	9.10342E+0	9.14353E+0	9.35343E+0	9.23297E+0	9.13111E+0	9.16363E+0	9.25448E+0	9.17589E+0	9.09806E+0	9.16297E+0	9.06529E+0	9.09894E+0	9.15265E+0	9.10740E+0	8.98407E+0	8.97426E+0	9.03397E+0	9.12973E+0	9.22142E+0	9.09294E+0	9.03254E+0	9.06537E+0	9.23275E+0	9.42068E+0	9.52990E+0	9.49113E+0	9.53937E+0	9.55904E+0	9.61158E+0	9.78137E+0	9.82086E+0	9.28200E+0	8.50985E+0	8.16906E+0	7.79164E+0	7.67284E+0	7.55871E+0	7.35463E+0	7.59176E+0	7.81725E+0	8.05996E+0	8.11540E+0	7.93842E+0	7.56344E+0	7.22164E+0	6.61938E+0	6.09597E+0	5.14798E+0	2.66828E+0	1.69099E+0	1.60969E+0	1.57447E+0	1.47201E+0	1.48219E+0	1.40299E+0	1.51220E+0	1.44609E+0	1.45469E+0	1.48150E+0	1.42241E+0	1.26014E+0	1.39502E+0	1.53318E+0	1.37564E+0	1.36559E+0	1.44635E+0	1.36407E+0	1.25047E+0	1.45002E+0	1.41210E+0	1.33909E+0	1.49248E+0	1.28622E+0	1.31896E+0	1.59274E+0	1.26456E+0	1.07461E+0	1.07070E+0	1.38257E+0	8.60791E-1	1.34023E+0	8.94422E-1	1.34317E+0
8.13202E+0	7.93462E+0	8.40610E+0	8.38015E+0	8.98816E+0	9.19396E+0	9.87639E+0	9.49788E+0	9.57798E+0	9.50113E+0	9.26295E+0	9.22152E+0	9.73114E+0	9.31561E+0	9.16412E+0	9.44178E+0	9.21894E+0	8.96672E+0	8.89482E+0	9.33442E+0	8.92614E+0	8.88914E+0	8.70834E+0	9.17236E+0	8.98851E+0	8.83114E+0	8.91498E+0	9.17707E+0	8.93763E+0	8.68523E+0	9.11974E+0	8.90844E+0	8.97421E+0	8.97069E+0	9.22376E+0	8.88882E+0	9.07923E+0	9.12020E+0	9.34180E+0	9.38346E+0	9.42564E+0	9.38670E+0	9.50053E+0	9.57260E+0	9.64228E+0	9.59642E+0	9.71076E+0	9.79049E+0	9.07863E+0	8.57879E+0	8.16873E+0	7.80978E+0	7.56800E+0	7.60839E+0	7.54937E+0	7.59450E+0	7.77111E+0	7.98673E+0	7.85038E+0	7.63247E+0	7.27706E+0	7.00877E+0	6.48784E+0	5.84548E+0	4.92029E+0	2.67194E+0	1.61148E+0	1.45320E+0	1.56855E+0	1.51491E+0	1.60432E+0	1.36529E+0	1.41220E+0	1.44619E+0	1.49625E+0	1.46153E+0	1.43035E+0	1.64129E+0	1.46441E+0	1.61342E+0	1.38932E+0	1.33526E+0	1.33720E+0	1.58932E+0	1.09847E+0	1.20649E+0	1.14234E+0	1.18040E+0	1.58225E+0	1.05448E+0	1.53118E+0	1.43704E+0	1.15414E+0	1.21923E+0	8.76099E-1	1.08705E+0	1.61771E+0	1.53176E+0	1.10879E+0	1.15396E+0
7.92095E+0	8.01958E+0	8.45360E+0	8.76126E+0	8.76037E+0	9.48783E+0	9.10774E+0	9.34434E+0	9.48890E+0	9.61028E+0	9.58245E+0	9.74847E+0	9.20039E+0	9.60463E+0	9.32958E+0	9.09577E+0	9.28206E+0	9.04747E+0	9.08328E+0	9.19934E+0	9.17745E+0	9.05317E+0	9.08837E+0	8.91039E+0	8.97602E+0	8.88994E+0	8.85453E+0	9.00667E+0	9.03518E+0	8.95517E+0	8.87260E+0	8.79863E+0	8.93430E+0	8.90542E+0	9.02130E+0	9.09751E+0	9.13452E+0	9.14942E+0	9.18038E+0	9.29681E+0	9.38049E+0	9.38712E+0	9.57633E+0	9.59695E+0	9.66591E+0	9.69129E+0	9.80922E+0	9.92015E+0	9.24972E+0	8.70424E+0	8.11586E+0	7.80700E+0	7.52164E+0	7.50996E+0	7.49102E+0	7.54603E+0	7.79568E+0	7.98634E+0	8.05738E+0	7.91821E+0	7.58043E+0	7.15156E+0	6.61837E+0	5.90121E+0	4.87218E+0	2.61935E+0	1.78912E+0	1.63373E+0	1.55297E+0	1.58798E+0	1.68355E+0	1.50702E+0	1.59420E+0	1.50572E+0	1.58904E+0	1.45500E+0	1.54808E+0	1.34771E+0	1.53154E+0	1.69896E+0	1.56080E+0	1.36082E+0	1.55463E+0	1.58747E+0	1.59584E+0	1.60299E+0	1.73888E+0	1.58051E+0	1.66565E+0	1.60698E+0	1.38694E+0	1.56105E+0	1.33529E+0	1.48258E+0	1.62735E+0	1.54132E+0	1.40067E+0	1.24871E+0	1.16709E+0	1.37145E+0
7.97738E+0	8.16333E+0	8.65982E+0	8.71743E+0	8.98162E+0	9.53183E+0	9.92168E+0	9.70423E+0	9.47321E+0	9.81748E+0	9.53393E+0	9.63982E+0	9.67224E+0	9.59876E+0	9.44725E+0	9.23462E+0	9.15625E+0	9.15161E+0	9.10373E+0	9.20832E+0	9.30786E+0	9.10745E+0	9.04490E+0	9.04810E+0	8.97102E+0	9.04647E+0	9.02204E+0	9.03885E+0	9.10681E+0	9.15262E+0	8.90915E+0	9.06147E+0	9.03069E+0	9.12637E+0	9.12920E+0	8.99793E+0	9.15432E+0	9.33457E+0	9.35727E+0	9.39388E+0	9.45606E+0	9.60284E+0	9.52301E+0	9.60502E+0	9.64599E+0	9.78574E+0	9.82105E+0	9.89383E+0	9.24990E+0	8.61795E+0	8.18882E+0	7.86508E+0	7.69740E+0	7.54997E+0	7.28188E+0	7.49474E+0	7.71646E+0	7.94713E+0	8.01055E+0	7.83000E+0	7.55607E+0	7.04720E+0	6.15937E+0	5.85228E+0	4.74632E+0	2.60471E+0	1.67123E+0	1.62023E+0	1.62561E+0	1.50212E+0	1.47992E+0	1.50219E+0	1.56778E+0	1.64427E+0	1.60678E+0	1.40353E+0	1.77514E+0	1.68085E+0	1.59176E+0	1.60886E+0	1.71113E+0	1.59090E+0	1.69848E+0	1.40625E+0	1.78548E+0	1.43786E+0	1.48449E+0	1.49143E+0	1.43962E+0	1.51825E+0	1.41602E+0	1.77609E+0	1.48036E+0	1.19616E+0	1.29274E+0	1.46203E+0	1.39184E+0	1.31382E+0	1.19343E+0	1.52908E+0
8.04019E+0	8.40513E+0	8.25271E+0	8.03591E+0	8.91905E+0	9.31910E+0	9.89990E+0	8.90658E+0	9.29237E+0	9.62446E+0	9.63891E+0	9.53824E+0	9.52350E+0	9.56999E+0	9.47931E+0	9.32394E+0	9.19943E+0	9.51507E+0	9.26067E+0	9.11486E+0	9.09103E+0	9.09534E+0	9.16282E+0	8.98397E+0	9.03406E+0	9.07373E+0	9.02792E+0	9.04429E+0	9.09551E+0	9.09791E+0	8.94752E+0	9.04219E+0	9.07022E+0	9.03247E+0	9.04987E+0	9.06248E+0	9.04911E+0	9.30354E+0	9.21150E+0	9.32362E+0	9.23606E+0	9.47198E+0	9.47414E+0	9.54865E+0	9.62807E+0	9.74041E+0	9.80930E+0	9.92045E+0	9.11935E+0	8.47729E+0	7.93103E+0	7.77470E+0	7.61458E+0	7.48020E+0	7.42675E+0	7.51693E+0	7.79184E+0	7.97147E+0	7.91997E+0	7.75086E+0	7.44164E+0	7.09792E+0	6.53517E+0	5.86852E+0	4.57950E+0	2.48459E+0	1.74900E+0	1.52398E+0	1.62434E+0	1.44553E+0	1.60749E+0	1.53150E+0	1.54482E+0	1.47186E+0	1.49776E+0	1.56333E+0	1.56810E+0	1.44334E+0	1.67998E+0	1.38184E+0	1.53074E+0	1.62970E+0	1.36547E+0	1.45425E+0	1.71694E+0	1.52460E+0	1.63607E+0	1.48243E+0	1.88771E+0	1.30485E+0	1.21406E+0	1.16083E+0	1.43112E+0	1.32179E+0	1.59178E+0	1.57385E+0	1.40582E+0	1.45328E+0	1.18593E+0	1.20641E+0
8.07949E+0	8.32109E+0	8.87760E+0	8.93796E+0	9.31175E+0	9.51788E+0	1.00259E+1	9.31688E+0	9.68091E+0	9.68771E+0	9.78882E+0	9.72382E+0	9.77122E+0	9.53796E+0	9.09384E+0	9.30674E+0	9.30501E+0	9.13518E+0	9.24149E+0	9.19925E+0	9.40532E+0	8.98166E+0	9.15065E+0	8.98133E+0	8.94226E+0	9.05393E+0	9.16557E+0	9.13687E+0	9.12722E+0	9.02751E+0	8.87170E+0	8.81881E+0	8.89147E+0	8.95642E+0	8.96456E+0	8.99904E+0	9.16009E+0	9.33764E+0	9.24155E+0	9.35579E+0	9.41429E+0	9.49485E+0	9.66814E+0	9.64389E+0	9.66610E+0	9.73775E+0	9.90069E+0	9.86789E+0	9.01887E+0	8.43336E+0	8.01541E+0	7.70042E+0	7.52793E+0	7.38132E+0	7.35979E+0	7.54605E+0	7.80400E+0	8.00369E+0	8.08320E+0	7.85901E+0	7.51051E+0	7.12577E+0	6.63714E+0	5.71073E+0	4.53585E+0	2.39828E+0	1.77915E+0	1.72845E+0	1.56085E+0	1.59608E+0	1.68030E+0	1.61415E+0	1.62398E+0	1.73181E+0	1.50457E+0	1.94860E+0	1.61707E+0	1.64039E+0	1.56265E+0	1.58170E+0	1.65342E+0	1.56016E+0	1.54800E+0	1.60483E+0	1.53019E+0	1.76662E+0	1.68358E+0	1.58069E+0	1.72316E+0	1.64519E+0	1.71776E+0	1.38751E+0	1.63319E+0	1.48129E+0	1.40150E+0	1.80762E+0	1.44667E+0	1.37084E+0	1.53963E+0	1.23202E+0
8.21555E+0	8.16336E+0	8.73712E+0	8.83720E+0	9.43580E+0	9.71465E+0	9.97356E+0	9.41702E+0	9.86812E+0	9.80495E+0	9.58628E+0	9.26601E+0	9.50453E+0	9.27436E+0	9.36202E+0	9.29920E+0	9.49824E+0	8.90378E+0	9.25563E+0	9.28783E+0	9.21822E+0	9.21228E+0	8.98207E+0	8.89479E+0	9.18450E+0	9.31186E+0	9.29122E+0	9.37367E+0	9.31282E+0	7.52271E+0	7.99686E+0	8.77336E+0	8.88666E+0	8.93369E+0	9.29415E+0	9.19708E+0	9.22668E+0	9.26902E+0	9.17816E+0	9.20111E+0	9.42632E+0	9.47650E+0	9.58213E+0	9.56154E+0	9.58974E+0	9.89701E+0	9.80326E+0	9.79958E+0	8.96750E+0	8.37473E+0	7.98350E+0	7.71023E+0	7.51565E+0	7.42581E+0	7.35358E+0	7.52285E+0	7.75657E+0	7.93688E+0	8.00485E+0	7.85188E+0	7.45120E+0	7.06792E+0	6.47219E+0	5.76462E+0	4.32975E+0	2.22206E+0	1.69252E+0	1.54919E+0	1.57591E+0	1.44945E+0	1.43360E+0	1.53322E+0	1.38986E+0	1.61451E+0	1.39089E+0	1.56670E+0	1.44699E+0	1.43971E+0	1.44825E+0	1.45954E+0	1.49257E+0	1.47105E+0	1.41123E+0	1.36234E+0	1.80451E+0	1.93612E+0	1.66063E+0	1.47825E+0	1.42508E+0	1.34582E+0	1.41081E+0	1.13211E+0	1.32484E+0	1.36025E+0	1.30859E+0	9.53835E-1	1.69795E+0	9.94718E-1	1.54164E+0	1.46613E+0
